ID Cliente,Cliente,Idade,Telefone,Estado,DataCompra,Produto,Preço,Unidades,ValorCompra
1,Maria Liz Lopes,31,(14) 38034124,São Paulo,2024-12-05,Mouse,39.9,7,279.3
2,Maria Luiza Cassiano,45,(73) 27383835,Bahia,2024-12-21,Peruca,39.9,9,359.1
3,Théo Alves,39,(98) 74232594,Maranhão,2024-12-22,Console clássico,999.9,6,5999.4
4,Yuri Abreu,48,(97) 98679994,Amazonas,2024-12-09,Jogo de Festa,62.4,5,312.0
5,Erick Teixeira,41,(96) 67885385,Amapá,2024-12-12,Camisa Temática,44.9,5,224.5
6,Hadassa da Rocha,30,(17) 21866455,São Paulo,2024-12-27,Jogo de Pratos e Talheres Temático,19.9,9,179.1
7,Ana Liz Souza,19,(38) 67845272,Minas Gerais,2024-12-09,Luminária personalizada,250.1,5,1250.5
8,Luiz Otávio da Rocha,39,(12) 78239465,São Paulo,2024-12-31,Adesivo de Parede,24.9,6,149.4
9,Antônio Porto,29,(18) 69668923,São Paulo,2024-12-24,Peruca,39.9,7,279.3
10,Cauã Ribeiro,30,(91) 84154333,Pará,2024-12-28,Jogo para Console,109.9,10,1099.0
11,Leandro Almeida,19,(53) 66449007,Distrito Federal,2024-12-22,Estatueta,350.1,7,2450.7
12,Ana Laura Rodrigues,34,(31) 11033668,Minas Gerais,2024-12-21,Peruca,39.9,4,159.6
13,Heitor Cardoso,32,(86) 80821381,Piauí,2024-12-29,Camisa Temática,44.9,4,179.6
14,Francisco Marques,19,(98) 32759152,Maranhão,2024-12-30,Máscara,49.9,3,149.7
15,Luiz Henrique Cassiano,23,(43) 48643882,Paraná,2024-12-19,Máscara,49.9,2,99.8
16,Luiz Fernando Pimenta,49,(68) 83937002,Acre,2024-12-06,Poster,45.5,1,45.5
17,Gael Henrique Leão,33,(92) 87587214,Amazonas,2024-12-11,Jogo de Cartas,29.5,6,177.0
18,Isabelly Gonçalves,50,(41) 73746995,Paraná,2024-12-11,chaveiro,10.75,5,53.75
19,Benício Cavalcanti,26,(88) 64945038,Ceará,2024-12-08,chaveiro,10.75,1,10.75
20,Antonella Vieira,49,(19) 78722132,São Paulo,2024-12-18,Máscara,49.9,5,249.5
21,João Lucas Costa,47,(16) 18498908,São Paulo,2024-12-29,Poster,45.5,9,409.5
22,Levi Pires,18,(88) 65137772,Ceará,2024-12-28,pijama,85.9,7,601.3
23,Dante da Conceição,32,(68) 83271042,Acre,2024-12-07,Jogo de Festa,62.4,10,624.0
24,Caroline Jesus,29,(64) 99249332,Goiás,2024-12-19,Console Portátil,350.9,3,1052.7
25,Fernanda Fonseca,47,(88) 68871446,Ceará,2024-12-22,Poster,45.5,4,182.0
26,Paulo Pires,30,(14) 39948037,São Paulo,2024-12-19,Jogo para Console,109.9,5,549.5
27,Elisa Almeida,50,(96) 78950997,Amapá,2024-12-28,Máscara,49.9,3,149.7
28,Ana Julia Melo,24,(85) 88050845,Ceará,2024-12-08,Estatueta,350.1,2,700.2
29,Yasmin Pereira,21,(24) 98017222,Rio de Janeiro,2024-12-08,Jogo de Cartas,29.5,3,88.5
30,Maria Clara Alves,47,(67) 58324870,Mato Grosso do Sul,2024-12-26,Console clássico,999.9,1,999.9
31,Luna Pacheco,46,(52) 48267190,Goiás,2024-12-05,Livro,59.9,5,299.5
32,Daniela da Mata,24,(68) 13615884,Acre,2024-12-27,Coleção de Figurinhas,91.9,4,367.6
33,Ester Albuquerque,23,(31) 34431888,Minas Gerais,2024-12-07,Caneca Personalizada,29.9,2,59.8
34,Heitor Sousa,42,(35) 46249846,Minas Gerais,2024-12-02,Console clássico,999.9,6,5999.4
35,Fernando Almeida,48,(32) 12784963,Minas Gerais,2024-12-05,Jogo de Cartas,29.5,4,118.0
36,Gael Abreu,40,(81) 46390204,Pernambuco,2024-12-04,Adesivo de Parede,24.9,6,149.4
